                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0707,                 1.3806,                 1.1226,                0.37936,                0.41373,                0.32814,                0.14057,                 1.7525,                  3.089,                 2.1264,             0.00066116,             0.00066116,             0.00066116
                      2,                0.81118,                0.70677,                0.97175,                0.19637,                0.10784,                0.05597,                0.01957,                  2.737,                 3.5271,                 2.9829,              0.0013103,              0.0013103,              0.0013103
                      3,                0.78107,                0.61953,                0.96613,                0.03877,                0.03725,                0.00794,                0.00321,                 2.9265,                 4.5043,                 3.0646,              0.0019418,              0.0019418,              0.0019418
                      4,                0.74357,                0.57344,                0.95509,                0.41431,                 0.4168,                0.32975,                 0.1713,                 2.3193,                 2.7982,                 3.1238,              0.0019208,              0.0019208,              0.0019208
                      5,                0.70327,                0.53199,                0.94001,                0.40545,                0.31078,                0.28985,                 0.1466,                 2.3319,                 2.5892,                 3.0301,              0.0019208,              0.0019208,              0.0019208
                      6,                 0.6758,                0.50113,                0.93006,                0.31427,                0.27549,                0.20665,                 0.1103,                 2.4236,                 3.2358,                 3.0478,              0.0018944,              0.0018944,              0.0018944
                      7,                0.66171,                0.48339,                0.92489,                0.46937,                0.50905,                0.48664,                0.23909,                 2.1051,                 2.0062,                 2.8449,               0.001868,               0.001868,               0.001868
                      8,                0.64442,                0.46544,                0.91789,                0.23874,                0.09347,                0.06622,                0.02864,                 2.5616,                 4.6744,                 3.6373,              0.0018416,              0.0018416,              0.0018416
                      9,                0.63214,                0.45173,                0.91439,                0.47908,                0.43039,                0.40687,                0.22493,                 2.2225,                 2.2121,                 2.8897,              0.0018152,              0.0018152,              0.0018152
                     10,                0.62352,                0.44482,                0.91316,                0.50309,                0.46176,                 0.4668,                0.26879,                 2.0896,                 1.8381,                 2.9496,              0.0017888,              0.0017888,              0.0017888
                     11,                0.61607,                0.43825,                0.90969,                0.54709,                0.37549,                 0.3671,                0.20953,                 2.3287,                 2.4697,                 3.3616,              0.0017624,              0.0017624,              0.0017624
                     12,                0.60571,                0.42489,                0.90471,                0.58203,                0.44314,                0.46742,                0.26934,                 2.0556,                 1.8057,                 2.9539,               0.001736,               0.001736,               0.001736
                     13,                0.59839,                0.41822,                0.90381,                0.40781,                0.39091,                0.33518,                0.15048,                 2.4255,                 1.8785,                 3.1772,              0.0017096,              0.0017096,              0.0017096
                     14,                0.59138,                0.41288,                0.90191,                 0.0302,                0.00686,                0.00265,                0.00113,                 2.5964,                 5.9885,                 4.0657,              0.0016832,              0.0016832,              0.0016832
                     15,                0.58252,                0.40614,                0.89971,                0.46588,                 0.2902,                0.29667,                0.15272,                 2.3588,                 2.5996,                 3.4725,              0.0016568,              0.0016568,              0.0016568
                     16,                0.58003,                0.39917,                0.89727,                0.44387,                0.28137,                0.27184,                 0.1299,                 2.3789,                 2.6793,                 3.3343,              0.0016304,              0.0016304,              0.0016304
                     17,                0.57658,                0.39665,                0.89661,                0.46827,                0.41765,                0.39052,                0.17401,                 2.3101,                 1.9151,                 3.3475,               0.001604,               0.001604,               0.001604
                     18,                0.57398,                0.39435,                0.89643,                0.52864,                0.47059,                0.47849,                0.24172,                 2.2038,                 1.5559,                 3.1533,              0.0015776,              0.0015776,              0.0015776
                     19,                0.56699,                0.38786,                0.89496,                0.60388,                0.35294,                0.39684,                0.20434,                 2.3324,                 2.3894,                 3.3184,              0.0015512,              0.0015512,              0.0015512
                     20,                0.56321,                0.38353,                0.89164,                0.08471,                0.03529,                0.01543,                0.00431,                 3.1265,                 5.2236,                 5.4506,              0.0015248,              0.0015248,              0.0015248
