                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2582,                 1.7104,                 1.2306,                 0.3391,                0.26569,                0.22656,                0.09623,                 2.1861,                 4.4916,                 2.9347,              0.0006595,              0.0006595,              0.0006595
                      2,                0.99893,                 1.0293,                 1.0566,                0.32017,                0.26087,                0.18805,                0.06603,                 2.7776,                 3.5163,                 3.6773,              0.0013087,              0.0013087,              0.0013087
                      3,                0.95444,                0.90187,                 1.0346,                0.29216,                0.33235,                0.21804,                0.09557,                 2.6087,                 3.0948,                 3.4439,              0.0019402,              0.0019402,              0.0019402
                      4,                 0.9374,                0.83681,                 1.0324,                0.30692,                0.23627,                0.16256,                0.08241,                 2.6454,                 3.3343,                 3.3081,              0.0019208,              0.0019208,              0.0019208
                      5,                  0.892,                0.76118,                 1.0169,                0.32891,                 0.3049,                0.23043,                 0.1136,                 2.6596,                 2.9516,                  3.588,              0.0019208,              0.0019208,              0.0019208
                      6,                0.85687,                0.71992,                 1.0023,                0.46448,                0.37755,                0.36736,                0.19014,                 2.4406,                 2.2376,                 3.1592,              0.0018944,              0.0018944,              0.0018944
                      7,                0.82377,                0.67485,                0.98777,                0.30262,                   0.25,                0.17093,                 0.0563,                 2.9788,                 2.9631,                 3.5622,               0.001868,               0.001868,               0.001868
                      8,                0.82376,                0.66511,                0.98642,                0.39245,                0.36569,                0.28901,                0.14532,                 2.8422,                 2.5159,                 3.4882,              0.0018416,              0.0018416,              0.0018416
                      9,                0.80227,                0.64434,                0.97858,                0.49298,                0.39412,                 0.3856,                 0.1667,                 2.6565,                 2.2184,                 3.4448,              0.0018152,              0.0018152,              0.0018152
                     10,                0.78532,                0.62335,                0.97888,                0.57813,                0.36813,                0.38103,                0.19946,                 2.5629,                 2.7433,                 3.3316,              0.0017888,              0.0017888,              0.0017888
                     11,                0.76271,                0.59918,                0.96804,                0.29167,                0.31367,                0.24342,                0.11909,                 2.7282,                 3.0945,                 3.6766,              0.0017624,              0.0017624,              0.0017624
                     12,                0.76133,                0.59531,                0.96644,                0.09402,                0.08922,                0.04102,                0.02419,                 2.9091,                  11.64,                 3.3312,               0.001736,               0.001736,               0.001736
                     13,                0.74777,                0.58181,                0.96015,                0.28623,                0.28627,                0.20369,                0.07689,                 2.8844,                 2.3823,                 3.7063,              0.0017096,              0.0017096,              0.0017096
                     14,                0.74568,                0.57966,                0.96127,                0.44244,                0.26667,                0.25182,                0.12797,                 2.7042,                 3.0677,                 3.3174,              0.0016832,              0.0016832,              0.0016832
                     15,                0.72948,                0.56346,                0.95842,                0.54416,                0.43627,                0.43309,                0.24912,                 2.5249,                 2.0669,                 3.1418,              0.0016568,              0.0016568,              0.0016568
                     16,                0.72744,                0.55298,                0.95499,                0.54553,                 0.4402,                0.45699,                 0.2318,                 2.4954,                 2.0776,                 3.1721,              0.0016304,              0.0016304,              0.0016304
                     17,                0.72229,                0.55153,                0.95158,                0.43119,                0.31863,                0.26652,                0.14018,                  2.607,                 3.7983,                 3.3753,               0.001604,               0.001604,               0.001604
                     18,                0.70882,                0.53533,                0.94719,                0.49662,                0.31569,                0.32804,                0.17946,                 2.5518,                 2.6602,                 3.1965,              0.0015776,              0.0015776,              0.0015776
                     19,                0.70815,                0.53257,                 0.9497,                0.45955,                 0.3543,                 0.3222,                0.17232,                 2.6302,                 2.7478,                 3.2309,              0.0015512,              0.0015512,              0.0015512
                     20,                0.70273,                0.53198,                0.94656,                0.49034,                0.40087,                0.35226,                0.18427,                 2.6135,                 2.3335,                  3.348,              0.0015248,              0.0015248,              0.0015248
                     21,                0.69069,                  0.511,                0.93928,                0.67685,                0.48725,                0.51993,                0.28943,                 2.5678,                 2.1208,                 3.3729,              0.0014984,              0.0014984,              0.0014984
