                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2566,                 1.7263,                 1.2365,                0.53618,                0.31078,                0.36783,                 0.1795,                  1.663,                  3.863,                 2.1111,              0.0006595,              0.0006595,              0.0006595
                      2,                0.99872,                 1.0215,                 1.0599,                0.42174,                0.15874,                0.14999,                 0.0761,                 2.6058,                 4.0774,                 3.1245,              0.0013087,              0.0013087,              0.0013087
                      3,                0.96039,                0.90853,                 1.0435,                0.25096,                0.28431,                0.16999,                0.06766,                 2.7263,                 3.3161,                 3.9034,              0.0019402,              0.0019402,              0.0019402
                      4,                0.92577,                0.82507,                 1.0276,                0.21065,                0.11373,                0.06741,                0.03046,                 2.6251,                 3.8711,                  3.138,              0.0019208,              0.0019208,              0.0019208
                      5,                0.87953,                0.74803,                 1.0126,                0.19605,                 0.2402,                0.12004,                0.04498,                 2.9162,                 4.0332,                 4.1098,              0.0019208,              0.0019208,              0.0019208
                      6,                0.86092,                0.70955,                  1.008,                0.40728,                0.28039,                 0.2317,                0.08944,                  2.698,                 2.7928,                 3.6717,              0.0018944,              0.0018944,              0.0018944
                      7,                0.82657,                0.67623,                0.99126,                0.34377,                0.26176,                0.23175,                0.12441,                 2.7088,                 2.6611,                 3.5744,               0.001868,               0.001868,               0.001868
                      8,                0.82405,                 0.6655,                0.99015,                0.32809,                0.34314,                0.27818,                0.15435,                 2.6656,                 2.7958,                 3.4245,              0.0018416,              0.0018416,              0.0018416
                      9,                0.80149,                0.63696,                0.98105,                0.34941,                0.20196,                0.16645,                  0.081,                   2.52,                 3.1861,                 3.2723,              0.0018152,              0.0018152,              0.0018152
                     10,                0.78632,                0.62744,                0.97941,                0.46465,                0.33431,                0.31671,                0.14283,                 2.8108,                 2.8924,                 3.6011,              0.0017888,              0.0017888,              0.0017888
                     11,                0.76031,                0.59187,                0.96894,                0.53147,                0.27358,                0.29628,                0.13578,                  2.664,                 3.0056,                 3.5461,              0.0017624,              0.0017624,              0.0017624
                     12,                0.76149,                0.59724,                0.97118,                 0.4689,                0.24118,                0.21968,                0.11022,                 2.5633,                 4.2649,                  3.545,               0.001736,               0.001736,               0.001736
                     13,                0.75351,                0.57992,                0.96638,                0.31333,                0.38039,                0.27904,                0.13842,                  2.455,                 2.5261,                 3.3256,              0.0017096,              0.0017096,              0.0017096
                     14,                0.75424,                0.58564,                0.96861,                0.53645,                0.26078,                0.28914,                0.14587,                 2.9477,                 3.0874,                  3.601,              0.0016832,              0.0016832,              0.0016832
                     15,                0.73374,                0.56291,                0.96032,                0.50418,                0.43333,                0.40745,                0.20787,                 2.5097,                 2.3658,                 3.3738,              0.0016568,              0.0016568,              0.0016568
                     16,                0.71791,                0.54584,                0.95314,                0.44775,                0.27843,                0.25736,                0.12451,                 2.5076,                 2.9585,                  3.585,              0.0016304,              0.0016304,              0.0016304
                     17,                0.71331,                0.54584,                0.95074,                0.35707,                 0.3402,                0.28804,                  0.145,                 2.4188,                 2.3531,                 3.5189,               0.001604,               0.001604,               0.001604
                     18,                0.70491,                0.52759,                0.95004,                 0.5603,                0.28333,                0.32005,                 0.1815,                 2.4636,                 2.7533,                 3.5378,              0.0015776,              0.0015776,              0.0015776
                     19,                0.71022,                0.53293,                0.95334,                0.36597,                0.22863,                0.18392,                0.10466,                 2.4315,                 3.5715,                 3.4189,              0.0015512,              0.0015512,              0.0015512
                     20,                0.71019,                0.53443,                0.95233,                0.39433,                0.34902,                0.29071,                 0.1432,                 2.6381,                 2.2695,                 3.4866,              0.0015248,              0.0015248,              0.0015248
                     21,                0.69133,                0.51489,                0.93997,                0.43131,                0.36509,                  0.328,                0.17877,                 2.4518,                 2.6553,                 3.4437,              0.0014984,              0.0014984,              0.0014984
                     22,                0.68605,                0.51423,                0.94214,                0.41101,                0.27353,                 0.2398,                  0.133,                 2.3994,                 3.1868,                 3.4151,               0.001472,               0.001472,               0.001472
                     23,                0.67417,                0.50188,                 0.9348,                0.42802,                 0.3184,                0.28055,                0.13023,                 2.5547,                 3.3531,                 3.5913,              0.0014456,              0.0014456,              0.0014456
                     24,                0.68243,                0.50263,                0.93947,                0.51043,                0.34804,                 0.3249,                0.17369,                 2.4691,                 2.7398,                 3.4088,              0.0014192,              0.0014192,              0.0014192
                     25,                0.67664,                0.50542,                0.94339,                0.48685,                0.40784,                0.38836,                 0.2229,                  2.269,                 2.3275,                 3.2377,              0.0013928,              0.0013928,              0.0013928
                     26,                0.65196,                0.48579,                0.92802,                0.54586,                 0.3902,                0.38414,                0.20613,                 2.1882,                 2.3609,                 3.0505,              0.0013664,              0.0013664,              0.0013664
                     27,                0.65281,                0.48634,                 0.9335,                0.57088,                0.23999,                0.27528,                0.14755,                 2.4916,                 3.3032,                 3.4585,                0.00134,                0.00134,                0.00134
                     28,                0.64985,                0.48021,                0.92764,                0.33935,                0.20043,                0.16958,                0.09391,                 2.5697,                 4.3414,                 3.6206,              0.0013136,              0.0013136,              0.0013136
                     29,                0.64446,                0.47053,                0.92794,                0.55724,                0.39314,                 0.4212,                0.23119,                 2.4067,                 2.4075,                 3.2476,              0.0012872,              0.0012872,              0.0012872
                     30,                0.64856,                0.47478,                 0.9275,                0.38069,                0.19216,                0.17593,                0.08448,                 2.4339,                 3.0593,                 3.4173,              0.0012608,              0.0012608,              0.0012608
                     31,                0.64137,                0.47148,                0.92261,                0.60359,                0.42247,                0.47981,                0.27614,                 2.2848,                 1.9163,                 3.2616,              0.0012344,              0.0012344,              0.0012344
                     32,                0.63897,                0.47096,                0.92098,                0.53741,                0.43529,                0.44029,                0.22856,                 2.4294,                 2.2562,                 3.2083,               0.001208,               0.001208,               0.001208
                     33,                 0.6319,                0.46016,                0.92083,                0.62329,                0.49608,                0.47177,                0.25709,                  2.424,                 2.0858,                 3.2209,              0.0011816,              0.0011816,              0.0011816
                     34,                0.62331,                0.45526,                0.91921,                0.52262,                0.36863,                0.38033,                0.19532,                 2.3656,                 2.3785,                 3.2636,              0.0011552,              0.0011552,              0.0011552
                     35,                0.62743,                  0.459,                0.92201,                0.56247,                0.45294,                0.47358,                0.26308,                 2.1918,                 1.9556,                 3.0098,              0.0011288,              0.0011288,              0.0011288
                     36,                0.62104,                0.44401,                0.91488,                0.65369,                0.42549,                0.46054,                0.26813,                 2.2812,                 2.1779,                 3.1473,              0.0011024,              0.0011024,              0.0011024
                     37,                0.62159,                0.44359,                0.91287,                0.57169,                0.33824,                0.34987,                0.21987,                  2.219,                 2.7975,                 3.0332,               0.001076,               0.001076,               0.001076
                     38,                0.61966,                0.43772,                0.91657,                0.64988,                0.54958,                0.59372,                 0.3288,                  2.203,                 1.7412,                 3.1389,              0.0010496,              0.0010496,              0.0010496
