                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72525,                0.84199,                0.94727,                0.24152,                0.45891,                0.17139,                 0.1015,                 2.2374,                 6.9063,                 2.7136,               0.000664,               0.000664,               0.000664
                      2,                0.61312,                0.46979,                0.91601,                0.17267,                0.24575,                0.08942,                0.03369,                 2.9531,                 3.8296,                  3.866,              0.0013131,              0.0013131,              0.0013131
                      3,                0.58734,                0.40348,                0.91062,                0.20469,                0.35784,                0.13269,                 0.0672,                 2.6293,                 4.0093,                 3.2864,              0.0019446,              0.0019446,              0.0019446
                      4,                0.56521,                0.38288,                 0.9048,                0.25513,                0.37647,                0.14814,                0.05606,                 3.0499,                 4.3994,                  3.658,              0.0019208,              0.0019208,              0.0019208
                      5,                 0.5528,                0.36004,                0.90302,                0.21221,                0.30392,                0.12067,                0.03676,                  3.193,                 3.3758,                 4.1167,              0.0019208,              0.0019208,              0.0019208
                      6,                0.53469,                0.34621,                0.89773,                0.31541,                0.27941,                0.15969,                0.04377,                 3.1526,                 2.9782,                 4.0768,              0.0018944,              0.0018944,              0.0018944
                      7,                0.51566,                 0.3291,                0.89227,                0.22512,                0.40196,                 0.1691,                0.06794,                 2.9297,                 4.1465,                 3.9237,               0.001868,               0.001868,               0.001868
                      8,                0.51064,                0.32435,                0.89058,                0.24285,                0.41569,                0.16685,                0.08942,                 2.4136,                 4.5922,                 3.3897,              0.0018416,              0.0018416,              0.0018416
                      9,                0.50013,                0.31643,                0.88661,                0.12405,                0.19902,                0.05855,                0.02105,                 3.0301,                 4.9015,                 3.6524,              0.0018152,              0.0018152,              0.0018152
                     10,                0.49527,                0.31308,                0.88635,                0.29295,                 0.4598,                0.21761,                0.10295,                 2.4874,                 4.2024,                 3.4172,              0.0017888,              0.0017888,              0.0017888
                     11,                0.47801,                0.30031,                0.88006,                0.21942,                 0.2451,                0.09572,                0.03218,                 3.0645,                 6.7142,                 4.6441,              0.0017624,              0.0017624,              0.0017624
                     12,                0.47784,                0.30042,                0.87975,                0.30423,                0.41176,                0.20061,                 0.1184,                 2.5992,                 3.8439,                 3.4715,               0.001736,               0.001736,               0.001736
                     13,                0.47822,                 0.2969,                0.87976,                0.22923,                0.26667,                0.12076,                 0.0328,                 3.3245,                 3.5369,                 4.3081,              0.0017096,              0.0017096,              0.0017096
                     14,                0.46686,                 0.2886,                0.87695,                0.21722,                0.23235,                0.14164,                0.03213,                 3.0708,                 3.9241,                 4.1371,              0.0016832,              0.0016832,              0.0016832
                     15,                0.46444,                0.28893,                0.87813,                0.23149,                0.22255,                 0.1112,                0.03201,                 2.9507,                  4.122,                 4.5044,              0.0016568,              0.0016568,              0.0016568
                     16,                0.46322,                0.28387,                  0.877,                0.18726,                0.26249,                0.10366,                0.02769,                  3.029,                 5.0208,                 4.3531,              0.0016304,              0.0016304,              0.0016304
                     17,                0.46563,                0.28514,                0.87978,                0.18707,                0.22157,                0.09047,                0.02542,                 3.1822,                 5.1701,                 4.4387,               0.001604,               0.001604,               0.001604
                     18,                 0.4541,                0.27797,                0.87204,                0.16531,                0.22745,                0.08776,                0.02844,                 3.0249,                 4.2676,                 4.2511,              0.0015776,              0.0015776,              0.0015776
                     19,                0.44372,                0.27247,                0.86923,                0.22993,                0.31176,                0.14464,                0.04933,                 2.9994,                  3.858,                 4.5132,              0.0015512,              0.0015512,              0.0015512
                     20,                0.44352,                0.27075,                0.87209,                0.29759,                 0.3049,                0.18796,                0.07512,                 2.8272,                  3.736,                 4.2831,              0.0015248,              0.0015248,              0.0015248
                     21,                0.43689,                0.26807,                 0.8677,                0.13847,                0.27647,                0.07439,                0.02258,                 3.3948,                 4.8732,                 4.9607,              0.0014984,              0.0014984,              0.0014984
                     22,                0.44357,                0.26871,                0.86901,                0.19354,                0.22549,                 0.0883,                0.02384,                  3.198,                 5.9874,                 4.6056,               0.001472,               0.001472,               0.001472
                     23,                0.43459,                0.26345,                0.86908,                0.25488,                0.18235,                0.12184,                0.03098,                 3.2259,                 3.9888,                  5.409,              0.0014456,              0.0014456,              0.0014456
                     24,                0.42485,                0.26004,                0.86811,                0.21119,                0.34804,                0.14157,                0.04964,                  2.906,                 5.4553,                 4.7234,              0.0014192,              0.0014192,              0.0014192
                     25,                0.43414,                0.26088,                0.86686,                0.19181,                0.33235,                 0.1061,                0.03278,                 2.9865,                 5.7136,                 4.4377,              0.0013928,              0.0013928,              0.0013928
                     26,                0.42697,                0.25798,                 0.8656,                0.30836,                0.28431,                0.15924,                0.05295,                  3.155,                 3.4424,                 4.4355,              0.0013664,              0.0013664,              0.0013664
                     27,                0.41841,                0.25383,                 0.8645,                0.28819,                0.38383,                0.20104,                0.07987,                 2.8506,                 4.5476,                  4.064,                0.00134,                0.00134,                0.00134
                     28,                0.42628,                0.25405,                0.86524,                0.17376,                0.17941,                 0.0778,                0.01927,                 3.4866,                 5.8008,                 4.9308,              0.0013136,              0.0013136,              0.0013136
                     29,                0.41562,                0.24754,                0.86102,                 0.2033,                0.27843,                 0.1512,                0.04864,                 3.1953,                 4.1029,                 4.7451,              0.0012872,              0.0012872,              0.0012872
                     30,                0.41887,                 0.2518,                0.86511,                0.21379,                0.37647,                0.13802,                0.05378,                 2.9794,                 4.3831,                 4.2066,              0.0012608,              0.0012608,              0.0012608
                     31,                 0.4152,                 0.2476,                0.86371,                0.19335,                0.38627,                0.12544,                0.04152,                  3.047,                 4.5423,                 5.1596,              0.0012344,              0.0012344,              0.0012344
                     32,                 0.4163,                0.24977,                0.86589,                0.19077,                0.17451,                0.08922,                0.02023,                 3.4199,                 5.3903,                 5.3656,               0.001208,               0.001208,               0.001208
                     33,                0.40051,                0.23912,                0.85977,                0.25869,                0.51373,                0.19116,                0.06689,                 2.7224,                 5.3601,                 4.3285,              0.0011816,              0.0011816,              0.0011816
                     34,                0.40745,                0.24392,                0.85988,                0.18885,                0.26667,                0.09842,                0.03103,                 3.0244,                 5.7618,                 4.8195,              0.0011552,              0.0011552,              0.0011552
                     35,                0.39641,                0.23884,                0.85605,                0.23811,                0.30686,                0.14131,                0.04798,                 2.8958,                   5.22,                 4.5308,              0.0011288,              0.0011288,              0.0011288
                     36,                0.40312,                0.24146,                0.85908,                0.20895,                 0.2902,                0.13372,                0.03499,                 3.0534,                 5.1116,                 4.7769,              0.0011024,              0.0011024,              0.0011024
                     37,                0.39648,                0.23527,                0.85621,                0.26998,                0.31765,                0.14735,                 0.0649,                 2.7689,                 5.1859,                 4.2217,               0.001076,               0.001076,               0.001076
                     38,                0.40011,                0.23838,                0.85975,                0.18201,                0.23235,                0.09941,                0.02303,                 3.1846,                 5.6217,                 5.0061,              0.0010496,              0.0010496,              0.0010496
                     39,                 0.3916,                0.23435,                0.85577,                 0.1951,                0.43333,                0.13979,                0.04469,                 2.8744,                 5.3674,                 4.6929,              0.0010232,              0.0010232,              0.0010232
                     40,                0.38746,                0.23166,                0.85694,                0.17343,                0.27843,                0.08582,                0.03073,                 2.8942,                 7.4339,                 4.7083,              0.0009968,              0.0009968,              0.0009968
                     41,                0.39126,                0.23101,                0.85722,                0.22123,                0.38137,                0.15545,                0.05198,                 2.9598,                 4.3643,                 4.2364,              0.0009704,              0.0009704,              0.0009704
                     42,                0.38232,                0.22904,                0.85453,                0.18968,                0.29804,                0.10995,                 0.0363,                 2.9704,                 5.1701,                 4.4441,               0.000944,               0.000944,               0.000944
                     43,                0.38778,                0.22947,                0.85726,                0.15588,                0.21961,                0.07288,                0.01595,                 3.4511,                 5.5643,                  5.674,              0.0009176,              0.0009176,              0.0009176
                     44,                0.38135,                0.22444,                0.85229,                0.22448,                0.32947,                0.12471,                0.04353,                 3.1399,                 4.5606,                 4.4469,              0.0008912,              0.0008912,              0.0008912
